Companies
Exxon Mobil
Wal-Mart Stores
General Motors
Ford Motor
General Electric
Citigroup
Enron
Intl. Business Machines
AT&T
Verizon Communications
Altria Group
Chase Manhattan Corp.
Bank of America Corp.
SBC Communications
Boeing
Texaco
Duke Energy
Kroger
Hewlett-Packard
ChevronTexaco
State Farm Insurance Cos
American Intl. Group
Home Depot
Morgan Stanley
Merrill Lynch
Fannie Mae
Compaq Computer
Lucent Technologies
Sears Roebuck
Merck
Procter & Gamble
MCI WorldCom
TIAA-CREF
Motorola
McKesson
Kmart Holding
Target
Albertson's
Marathon Oil
Berkshire Hathaway
Intel
Goldman Sachs Group
J.C. Penney
Conoco
Costco Wholesale
Safeway
MetLife
Dell
Ingram Micro
Freddie Mac
Cardinal Health
United Parcel Service
Pfizer
Dynegy
CenterPoint Energy
DuPont
Johnson & Johnson
Delphi
Allstate
Aquila
International Paper
Wells Fargo
Aetna
United Technologies
Lehman Brothers Hldgs.
BellSouth
Walt Disney
ConAgra Foods
Lockheed Martin
Bank One Corp.
Honeywell Intl.
Tosco
Wachovia Corp.
American Express
Sprint
Southern
Alcoa
Dow Chemical
Microsoft
Prudential Financial
FleetBoston Financial
PG&E Corp.
AutoNation
Georgia-Pacific
TXU
El Paso
New York Life Insurance
Bristol-Myers Squibb
ConocoPhillips
Walgreen
UnitedHealth Group
Loews
Coca-Cola
PepsiCo
Tech Data
Sara Lee
Supervalu
AMR
Caterpillar
CVS
Viacom
Cigna
Bergen Brunswig
UAL
Sysco
Electronic Data Systems
Cisco Systems
Lowe's
Xerox
Federated Dept. Stores
Raytheon
FedEx
Monsanto
TRW
Johnson Controls
Northwestern Mutual
IBP
3M
Columbia/HCA Healthcare
Qwest Communications
Liberty Mutual Ins. Group
Weyerhaeuser
Delta Air Lines
Washington Mutual
Sun Microsystems
Emerson Electric
Nationwide
Coca-Cola Enterprises
Hartford Financial Services
Rite Aid
Valero Energy
Publix Super Markets
Occidental Petroleum
May Dept. Stores
Fleming
Goodyear Tire & Rubber
Ultramar Diamond Shamrock
McDonald's
Solectron
Lear
Eastman Kodak
Kimberly-Clark
Wyeth
Abbott Laboratories
Winn-Dixie Stores
American Electric Power
Gap
Halliburton
Deere
Textron
Arrow Electronics
Archer Daniels Midland
Dana
Sunoco
Circuit City Stores
Best Buy
Waste Management
Amerada Hess
Anheuser-Busch
Farmland Industries
Household International
Union Pacific
Texas Instruments
Edison International
AmerisourceBergen
Xcel Energy
Office Depot
Williams
PacifiCare Health Sys.
Northwest Airlines
Tenet Healthcare
Toys `R` Us
Mass. Mutual Life Ins.
American General
Fluor
Eli Lilly
Manpower
Staples
Humana
General Dynamics
Whirlpool
Bear Stearns
Marsh & McLennan
Oracle
Limited Brands
Marriott International
Entergy
Gillette
Illinois Tool Works
U.S. Bancorp
Continental Airlines
Schering-Plough
AFLAC
Gateway
TJX
Applied Materials
Consolidated Edison
UnumProvident
H.J. Heinz
Computer Sciences
Colgate-Palmolive
US Airways Group
Dominion Resources
WellPoint Health Networks
Ingersoll-Rand
Burlington No. Santa Fe
Unocal
Avnet
Health Net
National City Corp.
CMS Energy
Nike
Eaton
Guardian Life of America
Principal Financial
EMC
Smurfit-Stone Container
Dillard's
Wellpoint
PPG Industries
SunTrust Banks
St. Paul Travelers Cos.
CHS
USAA
CSX
KeyCorp
Navistar International
Cinergy
Genuine Parts
SCI Systems
Conseco
Northrop Grumman
Comcast
Ashland
Reynolds American
Apple Computer
Pepsi Bottling
Paccar
Avista
MBNA
OfficeMax
PNC Financial Services
American Standard
John Hancock Financial Svcs.
Exelon
Bank of New York Co.
Aon
Micron Technology
Premcor
Crown Holdings
Corning
Aramark
Chubb
Masco
Rockwell Automation
Tyson Foods
Baxter International
Sempra Energy
Charles Schwab
NorthWestern
Safeco
Yum Brands
FPL Group
Alltel
FirstEnergy
Adams Resources & Engy.
Kellogg
Newell Rubbermaid
America Online
Unisys
Rohm & Haas
Lincoln National
Public Service Enterprise Group
Express Scripts
Progressive
General Mills
AES
ONEOK
Plains Resources
Cummins
Saks
Union Carbide
Seagate Technology
Automatic Data Proc.
Campbell Soup
Gannett
CNF
CIT Group
Norfolk Southern
Omnicom Group
Kohl's
NiSource
Computer Assoc. Intl.
Science Applications Intl.
Sonic Automotive
Federal-Mogul
Mellon Financial Corp.
ServiceMaster
NCR
Centex
Providian Financial
State St. Corp.
Northeast Utilities
Owens-Illinois
R.R. Donnelley & Sons
Dean Foods
VF
Avon Products
Nextel Communications
Allied Waste Industries
First Data
Anadarko Petroleum
PPL
Southwest Airlines
Interpublic Group
DTE Energy
Mattel
Litton Industries
Engelhard
Goodrich
Nordstrom
Air Products & Chem.
Fortune Brands
Ikon Office Solutions
Capital One Financial
Dover
3Com
Parker Hannifin
Clear Channel Communications
BB&T Corp.
Ryder System
Eastman Chemical
Baker Hughes
Graybar Electric
Sherwin-Williams
GPU
Meritor Automotive
Smithfield Foods
KeySpan
Tesoro
Tribune
TransMontaigne
Praxair
Quaker Oats
Conectiv
Medtronic
W.W. Grainger
Owens Corning
LTV
BJ's Wholesale Club
Pacific Life
Caesars Entertainment
United Auto Group
ITT Industries
Peter Kiewit Sons'
Crestline Capital
RadioShack
American Family Ins. Grp.
Dole Food
Sodexho Marriott Services
Quantum
Lennar
Foot Locker
Cendant
Willamette Industries
Advanced Micro Devices
Murphy Oil
IAC/Interactive
AK Steel Holding
Nucor
Black & Decker
Dollar General
Golden State Bancorp
Niagara Mohawk Holdings
Phelps Dodge
Pitney Bowes
Brunswick
Kelly Services
AutoZone
Cooper Industries
Caremark Rx
Cablevision Systems
Starwood Hotels & Rsrts.
Flowers Industries
Mead
Estee Lauder
Temple-Inland
McGraw-Hill
Leggett & Platt
Fifth Third Bancorp
Mutual of Omaha Ins.
Maytag
Avis Rent A Car
Brink's
Hershey Foods
Bethlehem Steel
HealthSouth
USA Education
Pulte Homes
True Value
Jones Apparel Group
Kerr-McGee
Progress Energy
Autoliv
Oxford Health Plans
Encompass Services
Barnes & Noble
Comerica
Clorox
Lyondell Chemical
Longs Drug Stores
Nash Finch
Allegheny Energy
Ames Dept. Stores
Merisel
Foster Wheeler
Golden West Financial
ShopKo Stores
United Stationers
KB Home
FMC
Sanmina-SCI
SouthTrust Corp.
Avery Dennison
York International
Thermo Electron
Wesco International
Constellation Energy
Comdisco Holding
Ameren
CDW
Regions Financial
Lexmark International
Hasbro
American Financial Grp.
USG
Danaher
Pathmark Stores
Spherion
AmSouth Bancorp.
Kinder Morgan
Westvaco
Fleetwood Enterprises
Administaff
Darden Restaurants
Pinnacle West Capital
MicroAge
Hormel Foods
Ball
D.R. Horton
Amgen
Becton Dickinson
Yellow Roadway
Group 1 Automotive
Reliance Group Holdings
Jabil Circuit
Tenneco Automotive
Northern Trust Corp.
Trans World Airlines
Interstate Bakeries
Anixter International
Cox Communications
Owens & Minor
New York Times
Cooper Tire & Rubber
Harrah's Entertainment
Emcor Group
Hilton Hotels
Puget Energy
SCANA
Quest Diagnostics
Jacobs Engineering Grp.
Thrivent Financial for Lutherans
Universal
Tellabs
Wisconsin Energy
Steelcase
Hughes Supply
OGE Energy
Allmerica Financial
Borders Group
ADC Telecommunications
Western Gas Resources
Big Lots
Airborne
Armstrong Holdings
Mohawk Industries
Charter Communications
Lennox International
Summit Bancorp
Jefferson-Pilot
MGM Mirage
Lutheran Brotherhood
Pennzoil-Quaker State
Knight-Ridder
Qualcomm
Chevron
J.P. Morgan Chase & Co.
American International Group
CVS Caremark
International Business Machines
WellPoint
State Farm Insurance Cos.
Medco Health Solutions
Sears Holdings
International Assets Holding
Kraft Foods
Apple
Sprint Nextel
Liberty Mutual Insurance Group
Honeywell International
News Corp.
HCA
Hess
Time Warner
Enterprise GP Holdings
Massachusetts Mutual Life Insurance
Philip Morris International
Travelers Cos.
Amazon.com
Google
Macy's
DirecTV Group
GMAC
PNC Financial Services Group
Plains All American Pipeline
Time Warner Cable
United Services Automobile Association
L-3 Communications
Freeport-McMoRan Copper & Gold
Burlington Northern Santa Fe
Coventry Health Care
"Toys ""R"" Us"
CBS
National Oilwell Varco
Community Health Systems
KBR
DISH Network
TRW Automotive Holdings
Jacobs Engineering Group
World Fuel Services
Oneok
Liberty Global
United States Steel
ITT
SAIC
Land O'Lakes
Liberty Media
Mosaic
Thermo Fisher Scientific
Unum Group
Guardian Life Ins. Co. of America
Starbucks
Penske Automotive Group
Energy Future Holdings
Great Atlantic & Pacific Tea
State Street Corp.
Pepco Holdings
URS
GameStop
Genworth Financial
XTO Energy
Devon Energy
NRG Energy
Automatic Data Processing
eBay
Assurant
Apache
Air Products & Chemicals
Bank of New York Mellon Corp.
Smith International
Republic Services
Boston Scientific
Whole Foods Market
Discover Financial Services
Ameriprise Financial
Icahn Enterprises
Huntsman
Synnex
Newmont Mining
Chesapeake Energy
C.H. Robinson Worldwide
Integrys Energy Group
Western Digital
Family Dollar Stores
Estée Lauder
Shaw Group
Bed Bath & Beyond
Ross Stores
Pilgrim's Pride
Hertz Global Holdings
Reinsurance Group of America
CarMax
Gilead Sciences
Precision Castparts
Visa
Commercial Metals
WellCare Health Plans
Western Refining
Stryker
Visteon
AGCO
Calpine
Henry Schein
Affiliated Computer Services
Yahoo
American Family Insurance Group
Peabody Energy
Omnicare
AECOM Technology
Symantec
SLM
DaVita
MeadWestvaco
Virgin Media
First American Corp.
Enbridge Energy Partners
Ecolab
Fidelity National Financial
Global Partners
UGI
Harris
CC Media Holdings
Dr Pepper Snapple Group
SunGard Data Systems
CH2M Hill
Pantry
Domtar
Oshkosh
Energy Transfer Equity
Advance Auto Parts
PetSmart
Reliance Steel & Aluminum
Hershey
YRC Worldwide
Dollar Tree
Dana Holding
Cameron International
Nash-Finch
Terex
Universal Health Services
Amerigroup
Jarden
Tutor Perini
Mutual of Omaha Insurance
Avis Budget Group
MasterCard
Mylan
